"Country","Production","Area_harvested","Imports","Rural_pop"
"Afghanistan",301000,183000,0,21387
"Albania",362000,54200,66319,1507
"Algeria",359,139,2588335,12036
"Angola",1072737,1489815,29066,11711
"Antigua and Barbuda",64,40,19,64
"Argentina",22663095,2904035,6912,3648
"Armenia",12751,2729,48034,1079
"Australia",328000,59000,903,2524
"Austria",1955989,201137,617336,2869
"Azerbaijan",136061,29870,67967,4238
"Bahamas",678,90,545,63
"Bangladesh",887391,152009,701356,105090
"Barbados",259,90,37586,191
"Belarus",550586,111668,65716,2409
"Belgium",745891,62531,762296,258
"Belize",58049,19836,289,170
"Benin",1012630,918237,1100,5530
"Bhutan",57663,24879,6454,467
"Bolivia (Plurinational State of)",1018988,365354,40261,3410
"Bosnia and Herzegovina",853376,188752,186130,2337
"Botswana",10572,65388,41722,862
"Brazil",55364271,12678875,462539,30579
"Bulgaria",2047414,327525,116908,2047
"Burkina Faso",1133452,790321,434,11552
"Burundi",126412,120267,22370,8250
"C̫te d'Ivoire",641610,324045,16636,9383
"Cabo Verde",7047,32028,20424,186
"Cambodia",773269,214000,663,11519
"Cameroon",1670321,846130,14751,10000
"Canada",11714500,1202900,1583156,6505
"Central African Republic",150000,92891,30,2661
"Chad",215797,263996,12590,9144
"Chile",1357921,122547,600823,1958
"China",177540788,32517988,6612374,696294
"China, mainland",177425000,32500120,1572394,690435
"China, Taiwan Province of",115788,17868,5007612,5859
"Colombia",1421868,522237,3613900,11594
"Comoros",5267,2500,0,492
"Congo",10500,12837,311,1512
"Costa Rica",18765,9598,629024,1320
"Croatia",2067815,296768,22646,1842
"Cuba",324463,225608,785856,2640
"Czechia",692589,103276,16273,2823
"Democratic People's Republic of Korea",1683000,503000,109306,9749
"Democratic Republic of the Congo",1155964,1484775,10183,37354
"Denmark",45700,9500,54590,733
"Djibouti",14,8,1047,192
"Dominica",170,120,43,23
"Dominican Republic",35078,20858,1074586,2629
"Ecuador",984096,440346,485775,5597
"Egypt",7041099,968519,6170460,44488
"El Salvador",768113,253894,450585,2221
"Eritrea",18000,20000,2000,4560
"Ethiopia",4986125,1963180,29222,72011
"Fiji",923,502,63,415
"France",13975285,1582727,348191,13692
"Gabon",39431,25000,239,223
"Gambia",66000,52800,0,734
"Georgia",141100,99800,14612,2068
"Germany",4211501,466591,1880907,21343
"Ghana",1871695,991669,955,11959
"Greece",2138486,205984,363885,2634
"Grenada",341,338,737,67
"Guam",43,18,0,9
"Guatemala",1638249,821412,630100,7268
"Guinea",584141,358092,440,7085
"Guinea-Bissau",12312,17843,2,869
"Guyana",4378,3178,21508,564
"Haiti",340000,422642,16964,4749
"Honduras",548223,332167,353491,3681
"Hungary",6984872,1078825,96206,3119
"India",21725800,8553200,7050,832723
"Indonesia",18327636,4131676,1527516,120522
"Iran (Islamic Republic of)",1656996,240209,5790014,21873
"Iraq",266699,113075,2840,9588
"Israel",86537,2960,981100,607
"Italy",8495940,926776,2219022,19165
"Jamaica",2362,2017,204163,1268
"Japan",166,65,16192571,12070
"Jordan",29006,1496,513570,1131
"Kazakhstan",462040,95600,2078,7366
"Kenya",3464541,2008346,229596,31267
"Kuwait",18310,928,102952,52
"Kyrgyzstan",440878,72714,489,3451
"Lao People's Democratic Republic",1020875,212745,353,4277
"Lebanon",6119,1645,346899,556
"Lesotho",128213,141340,150000,1512
"Libya",2900,1500,648060,1351
"Lithuania",47500,7100,27591,1020
"Luxembourg",3116,375,6190,58
"Madagascar",411914,264429,6412,14349
"Malawi",3419409,1696270,15395,12681
"Malaysia",47602,8600,3076957,8225
"Maldives",107,24,19,195
"Mali",1356043,504362,478,8952
"Mauritania",19910,23174,1123,1564
"Mauritius",328,48,80777,731
"Mexico",23301879,7148045,7848998,26141
"Montenegro",1685,444,14092,229
"Morocco",279150,230100,1897367,13390
"Mozambique",2089890,1738042,75826,16548
"Myanmar",1354400,388903,112,35622
"Namibia",52710,26511,328,1272
"Nepal",1855184,875660,141992,22330
"Netherlands",196903,16733,2911583,2150
"New Caledonia",3335,850,1814,81
"New Zealand",188812,17548,601,604
"Nicaragua",456974,341194,122086,2489
"Niger",9756,12398,50623,13103
"Nigeria",7676850,4149310,550,90267
"Oman",12378,3400,86882,696
"Pakistan",3706910,974180,12338,109780
"Panama",66721,47652,380333,1283
"Papua New Guinea",11000,2200,203,5966
"Paraguay",3108821,794034,12164,2682
"Peru",1541195,497176,1917973,6755
"Philippines",6376796,2499040,88470,51156
"Poland",1994391,333375,285290,14939
"Portugal",626222,90371,1411143,4176
"Qatar",1868,90,24349,24
"Republic of Korea",74339,15528,8540967,8753
"Republic of Moldova",1419851,411077,687,1969
"Romania",9042032,2094249,430549,10094
"Russian Federation",3084351,1025181,36500,37790
"Rwanda",432404,184658,118064,8241
"Saint Vincent and the Grenadines",582,31,3659,56
"Sao Tome and Principe",1568,1083,48,68
"Saudi Arabia",79384,14951,1926269,4884
"Senegal",186511,121235,109700,7482
"Serbia",7207191,1223579,1670,4321
"Sierra Leone",51388,35440,1000,3552
"Slovakia",921313,166585,200713,2462
"Slovenia",311117,36433,247001,1026
"Somalia",132627,87843,78160,6046
"South Africa",12815000,2742000,29093,19440
"Spain",3324821,314990,3955005,9956
"Sri Lanka",161690,57620,11209,16956
"Sudan (former)",35000,26460,103921,32024
"Suriname",35,15,17180,177
"Swaziland",84685,70334,100000,937
"Switzerland",143502,16898,96419,2062
"Syrian Arab Republic",133100,37918,1918514,9544
"Tajikistan",151061,12534,0,5605
"Thailand",4860746,1162898,416659,37132
"The former Yugoslav Republic of Macedonia",132006,29480,47962,904
"Timor-Leste",148891,70255,820,761
"Togo",638129,534572,3091,3939
"Trinidad and Tobago",3196,1294,51365,1207
"Turkey",4310000,593552,452363,21126
"Turkmenistan",5610,3300,0,2602
"Uganda",2373501,1032000,1457,29062
"Ukraine",11953000,2647600,26036,14420
"United Arab Emirates",5226,282,384816,1346
"United Republic of Tanzania",4733070,3050710,18588,32330
"United States of America",315617920,32960380,380583,60038
"Uruguay",529100,96000,27464,188
"Uzbekistan",231600,28300,50,17719
"Vanuatu",823,1461,108,178
"Venezuela (Bolivarian Republic of)",2372452,633407,1808843,3262
"Viet Nam",4606800,1126391,1659176,61984
"Yemen",89454,53202,378715,15540
"Zambia",2795483,1080556,5704,8099
"Zimbabwe",1192399,1362563,173824,8736
